,Player,Tm,Pos,Age,Fumbles,FantasyPoints,TDs,YDs,Touches
435,Deontay Burnett,PHI,WR,22,0,6.8,0,48,2
436,Mike Davis,2TM,RB,26,0,11.9,0,49,20
437,Patrick DiMarco,BUF,RB,30,0,9.8,0,48,8
438,Jon Hilliman,NYG,RB,24,2,8.2,0,92,33
439,Alexander Hollins,MIN,WR,23,0,6.6,0,46,2
440,Taiwan Jones,HOU,RB,31,0,5.9,0,49,10
441,Lance Kendricks,LAC,TE,31,0,8.0,0,50,3
442,Devine Ozigbo,JAX,RB,23,0,8.0,0,50,12
443,Elijhaa Penny,NYG,RB,26,0,6.8,0,48,17
444,Luke Stocker,ATL,TE,31,1,13.3,0,53,8
445,Trevon Wesco,NYJ,TE,24,0,6.9,0,49,3
446,DeAndrew White,CAR,WR,28,0,9.1,0,51,4
447,Cedrick Wilson,DAL,WR,24,0,9.6,0,46,5
448,Deon Yelder,KAN,TE,24,0,8.0,0,50,3
449,C.J. Anderson,DET,RB,28,0,4.3,0,43,16
450,Geremy Davis,LAC,WR,27,0,6.8,0,38,3
451,Mike Glennon,OAK,QB,30,3,4.24,1,56,12
452,Colt McCoy,WAS,QB,33,2,4.28,0,136,29
453,Steven Mitchell,HOU,WR,25,0,5.7,0,37,2
454,Jason Moore,LAC,WR,24,0,6.3,0,43,2
455,Paul Perkins,DET,RB,25,0,4.8,0,38,13
456,Jay Ajayi,PHI,RB,26,0,3.0,0,30,10
457,Travis Benjamin,LAC,WR,30,0,9.0,0,30,6
458,C.J. Board,JAX,WR,26,0,5.1,0,31,2
459,Pharaoh Brown,CLE,TE,25,0,4.7,0,27,2
460,Cody Core,NYG,WR,25,0,5.8,0,28,3
461,Dalyn Dawkins,TEN,RB,25,0,2.6,0,26,11
462,Devin Funchess,IND,WR,25,0,6.2,0,32,3
463,Johnny Holton,PIT,WR,28,0,6.0,0,30,4
464,Tanner Hudson,TAM,TE,25,0,4.6,0,26,2
465,Ishmael Hyman,TAM,WR,24,0,5.4,0,34,2
466,Jordan Matthews,2TM,WR,27,0,7.3,0,33,4
467,Codey McElroy,TAM,WR,27,0,4.0,0,30,1
468,Johnny Mundt,LAR,TE,25,0,6.6,0,26,4
469,Andre Roberts,BUF,WR,31,1,5.7,0,27,4
470,Drew Sample,CIN,TE,23,0,8.0,0,30,5
471,Da'Mari Scott,NYG,WR,24,0,4.7,0,27,3
472,Russell Shepard,NYG,WR,29,0,5.5,0,25,3
473,Anthony Sherman,KAN,RB,31,0,5.1,0,31,6
474,Cam Sims,WAS,WR,23,0,4.7,0,27,2
475,Ryan Switzer,PIT,WR,25,1,10.7,0,27,8
476,Ross Travis,IND,TE,26,1,7.1,0,51,4
477,Nick Bawden,DET,RB,23,0,5.7,0,17,4
478,Josh Bellamy,NYJ,WR,30,0,4.0,0,20,2
479,Fred Brown,DEN,WR,26,1,4.1,0,21,2
480,Michael Crabtree,ARI,WR,32,0,6.2,0,22,4
481,Rashard Davis,TEN,WR,25,0,2.6,0,16,1
482,Robert Davis,2TM,WR,24,0,3.7,0,17,2
483,Ashton Dulin,IND,WR,22,0,3.7,0,17,2
484,Tyler Ervin,2TM,RB,26,2,4.1,0,21,3
485,Darius Jennings,TEN,WR,27,0,3.7,0,17,2
486,Marqise Lee,JAX,WR,28,0,4.9,0,19,4
487,T.J. Logan,TAM,RB,25,0,4.3,0,23,5
488,Donte Moncrief,2TM,WR,26,0,5.8,0,18,4
489,Chris Moore,BAL,WR,26,0,5.1,0,21,4
490,Stanley Morgan,CIN,WR,23,0,4.8,0,18,3
491,Josh Oliver,JAX,TE,22,0,4.5,0,15,3
492,Samaje Perine,2TM,RB,24,0,1.6,0,16,5
493,Eric Saubert,CHI,TE,25,0,4.1,0,21,2
494,Keith Smith,ATL,RB,27,0,3.1,0,21,6
495,Diontae Spencer,DEN,WR,27,3,7.7,0,37,9
