,Player,Tm,Pos,Age,Fumbles,FantasyPoints,TDs,YDs,Touches
270,Marvin Hall,DET,WR,26,0,39.8,1,268,8
271,Matt Schaub,ATL,QB,38,1,30.9,3,577,70
272,Jaron Brown,SEA,WR,29,1,48.0,2,220,16
273,Vyncint Smith,NYJ,WR,23,1,48.7,1,277,20
274,Greg Ward,PHI,WR,24,0,59.9,1,259,29
275,Pharoh Cooper,2TM,WR,24,0,55.5,1,245,26
276,Keke Coutee,HOU,WR,22,1,52.8,1,268,24
277,Kyle Juszczyk,SFO,RB,28,0,50.6,1,246,23
278,Malik Turner,SEA,WR,23,0,45.5,1,245,15
279,Charles Clay,ARI,TE,30,0,47.7,1,237,18
280,Qadree Ollison,ATL,RB,23,1,30.7,4,57,23
281,Chester Rogers,IND,WR,25,2,45.7,2,197,17
282,Jeremy Sprinkle,WAS,TE,25,1,56.1,1,241,26
283,Jarius Wright,CAR,WR,30,0,56.9,0,289,29
284,DeSean Jackson,PHI,WR,33,0,36.9,2,159,9
285,Jake Kumerow,GNB,WR,27,0,39.9,1,219,12
286,Scott Miller,TAM,WR,22,0,40.6,1,216,15
287,Justin Watson,TAM,WR,24,0,42.9,2,159,15
288,Jakeem Grant,MIA,WR,27,2,39.9,1,169,23
289,N'Keal Harry,NWE,WR,22,0,39.4,2,154,17
290,James O'Shaughnessy,JAX,TE,27,0,41.3,2,153,14
291,Mark Walton,MIA,RB,22,1,42.0,0,290,68
292,Chase Daniel,CHI,QB,33,0,26.0,3,441,70
293,Anthony Firkser,TEN,TE,24,0,40.4,1,204,14
294,Isaiah Ford,MIA,WR,23,0,48.5,0,255,24
295,Marquise Goodwin,SFO,WR,29,0,38.1,1,201,13
296,Dontrell Hilliard,CLE,RB,24,2,38.1,2,141,25
297,Andy Isabella,ARI,WR,23,0,35.4,1,204,13
298,Bilal Powell,NYJ,RB,31,0,33.2,0,262,67
299,Trey Quinn,WAS,WR,24,1,49.8,1,198,26
300,Damion Ratley,CLE,WR,24,0,38.0,1,200,12
301,Maxx Williams,ARI,TE,25,0,41.2,1,202,15
302,Dan Arnold,2TM,TE,24,0,32.7,2,127,8
303,Ryan Finley,CIN,QB,25,4,24.66,2,551,97
304,KeeSean Johnson,ARI,WR,23,1,44.0,1,190,22
305,Cordarrelle Patterson,CHI,WR,28,0,29.6,0,186,28
306,Ito Smith,ATL,RB,24,0,36.3,1,193,33
307,Javon Wims,CHI,WR,25,0,42.6,1,186,18
308,Ameer Abdullah,MIN,RB,26,1,39.3,1,203,38
309,Myles Gaskin,MIA,RB,22,0,31.4,1,184,43
310,Dante Pettis,SFO,WR,24,0,34.54,2,125,12
311,Laquon Treadwell,MIN,WR,24,0,33.4,1,184,9
312,Olamide Zaccheaus,ATL,WR,22,0,20.5,1,115,3
313,JJ Arcega-Whiteside,PHI,WR,23,0,32.9,1,169,10
314,Reggie Bonnafon,CAR,RB,23,0,29.3,1,173,22
315,Rhett Ellison,NYG,TE,31,0,40.7,1,167,18
316,Bennie Fowler,NYG,WR,28,0,44.3,0,213,24
317,Byron Pringle,KAN,WR,26,0,35.0,1,170,12
318,Darwin Thompson,KAN,RB,23,0,32.1,1,171,46
319,Logan Thomas,DET,TE,28,0,39.3,1,173,16
