,Player,Tm,Pos,Age,Fumbles,FantasyPoints,TDs,YDs,Touches,PredictedPoints,+/-
127,Stefon Diggs,MIN,WR,24.0,0.0,198.2,8.0,862.0,72.0,143.7585905263191,True
128,Darwin Thompson,KAN,RB,23.0,0.0,32.1,1.0,171.0,46.0,73.18665955257886,False
129,Jack Doyle,IND,TE,27.0,2.0,169.0,4.0,690.0,80.0,110.37348626812695,True
130,Jakeem Grant,MIA,WR,27.0,2.0,39.9,1.0,169.0,23.0,78.16140137280847,False
131,Julian Edelman,NWE,WR,32.0,1.0,207.42,6.0,1000.0,85.0,137.13129906445658,True
132,Danny Amendola,NWE,WR,32.0,2.0,138.9,2.0,659.0,61.0,101.72299175367439,True
133,Ted Ginn,NOR,WR,34.0,0.0,85.9,2.0,439.0,33.0,96.07145835156857,False
134,Austin Seferian-Jenkins,JAX,TE,26.0,0.0,26.0,1.0,90.0,11.0,76.56187901251322,False
135,Vance McDonald,PIT,TE,27.0,0.0,38.8,1.0,188.0,14.0,81.17259225018155,False
136,A.J. Brown,TEN,WR,22.0,1.0,217.1,9.0,1111.0,55.0,166.5048406290531,True
137,Mark Andrews,BAL,TE,23.0,2.0,207.2,10.0,852.0,64.0,156.16902700881084,True
138,Mack Hollins,2TM,WR,26.0,0.0,22.5,0.0,125.0,10.0,73.07589988252224,False
139,Cody Latimer,NYG,WR,27.0,0.0,66.0,2.0,300.0,24.0,90.58026509705749,False
140,JuJu Smith-Schuster,PIT,WR,23.0,1.0,113.2,3.0,552.0,42.0,105.75391623171181,True
141,Julio Jones,ATL,WR,28.0,0.0,251.9,3.0,1459.0,89.0,144.1761998062339,True
142,Martavis Bryant,PIT,WR,26.0,0.0,130.5,3.0,625.0,56.0,106.58861829428552,True
143,Geronimo Allison,GNB,WR,24.0,1.0,62.3,2.0,303.0,20.0,91.62559267232997,False
144,Adrian Peterson,WAS,RB,34.0,3.0,147.0,5.0,1040.0,228.0,102.09434625568738,True
145,Justin Hardy,ATL,WR,27.0,1.0,39.3,2.0,133.0,14.0,83.8032926997084,False
146,Julius Thomas,MIA,TE,29.0,1.0,97.8,3.0,388.0,41.0,97.14962922851781,True
147,Cordarrelle Patterson,NWE,WR,27.0,1.0,90.5,4.0,475.0,63.0,102.56031842482855,False
148,Anthony Firkser,TEN,TE,24.0,0.0,40.4,1.0,204.0,14.0,82.03359317492932,False
149,Samaje Perine,WAS,RB,22.0,2.0,108.5,2.0,785.0,197.0,78.4511173720657,True
150,Tyler Higbee,LAR,TE,25.0,1.0,65.2,2.0,292.0,24.0,90.1497646346836,False
151,Kyle Rudolph,MIN,TE,28.0,0.0,158.2,8.0,532.0,57.0,129.31503358545498,True
152,DaeSean Hamilton,DEN,WR,24.0,0.0,63.7,1.0,297.0,28.0,83.94454639343773,False
153,Alshon Jeffery,PHI,WR,29.0,0.0,122.2,5.0,492.0,44.0,113.26400006966114,True
154,Ryan Fitzpatrick,TAM,QB,35.0,0.0,73.72,7.0,1179.0,179.0,131.58272534418603,False
155,Anthony Sherman,KAN,RB,29.0,0.0,20.7,1.0,87.0,20.0,74.41168905988789,False
156,Deebo Samuel,SFO,WR,23.0,2.0,187.1,6.0,961.0,71.0,138.12622396697188,True
157,Tyreek Hill,KAN,WR,25.0,0.0,188.3,7.0,883.0,66.0,140.62409796452664,True
158,Deshaun Watson,HOU,QB,22.0,3.0,164.86,21.0,1968.0,240.0,238.82698823896735,False
159,Albert Wilson,KAN,WR,25.0,0.0,116.0,3.0,560.0,45.0,105.52149926767399,True
